,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
30,12500,8341,4159,3336,2502,2004,499,,4357,4496,864,418,447,107,613,679,117,825,801,140,5,6,1,2496,2563,499,2783,519.1520115247605,1180.8952772867638,360.0,873.4399820674554,1130.8945275220028,1377.894527522065,,478.2198132522221,478.56678294919175,479.3440556764645,448.41829810070607,130,29,20,36,1,146
31,12500,7035,5465,2814,2110,1750,361,,5596,4057,788,1071,765,155,1395,1003,206,456,338,66,5,5,0,2669,1946,361,2059,621.1490000706616,1305.2070393671738,360.0,1038.3182395038184,1245.1364213220656,,,590.5546149850342,589.5143552447744,589.7582946387138,579.1961734265923,110,53,40,18,1,967
32,12500,7680,4820,3072,2304,1899,405,,5614,4084,799,948,658,138,599,413,96,1069,738,160,0,1,0,2998,2274,405,2003,563.1740324184385,1236.2323406253768,360.0,926.9853886195474,1166.258115892304,1408.8035704378174,,532.9516481857909,532.5522975364403,532.9499165840592,486.2680984022398,121,23,35,40,1,393
33,12500,7592,4908,3037,2278,1599,678,,4928,3067,1406,949,596,263,580,351,176,1066,636,289,1,1,0,2332,1483,678,3099,522.4812663144727,1220.2295068304857,360.0,857.2026694973989,1089.4377510824618,1365.7104783552386,,473.6044472781861,474.0204645942034,473.62111394485277,360.7695987933348,119,23,37,40,1,191
34,12500,7754,4746,3102,2326,1829,497,,3718,2818,1305,755,614,298,689,535,238,781,562,272,0,2,0,1493,1105,497,4659,584.4626947944439,1355.6752290800766,360.0,999.4475249180128,1225.7202521907966,,,509.8976148783148,510.1755369562369,509.48397851467837,368.61341574411205,121,30,34,33,1,1729
35,12500,7954,4546,3182,2386,1978,408,,5351,4337,748,649,541,88,667,546,107,981,822,145,0,0,0,3054,2428,408,2064,549.1723493494602,1219.3233782102052,360.0,912.7329513240527,1159.6420422331666,1399.2784058695916,,517.1971648106152,517.2138314772818,517.1804981439485,0.0,124,27,26,39,0,292
36,12500,7634,4866,3054,2290,1877,413,,4188,3337,940,828,650,170,747,654,172,823,631,182,5,1,3,1785,1401,413,4035,595.0845616901465,1315.3960135751859,360.0,1013.2027538536731,1236.202753853737,,,533.5796036140605,533.5462702807271,532.8689975534544,461.14691963137443,119,32,33,33,1,1259
37,12500,8063,4437,3225,2419,1905,514,,4640,2836,1084,735,496,161,864,473,213,792,500,195,5,2,1,2244,1365,514,3940,530.4736280745689,1234.569506508204,360.0,883.054946141776,1132.8731279599633,1407.9640370509314,,470.8445766841291,470.566654606207,470.49760698715943,406.8036675932186,126,31,28,30,1,492
38,12500,7550,4950,3020,2265,1774,491,,4586,3970,1011,1287,1153,288,604,495,131,469,420,101,1,1,0,2225,1901,491,2933,542.663780737719,1200.1902152937673,360.0,886.5065254697115,1122.3247072878962,1376.4156163788602,,496.4296994022953,496.44636606896194,496.54939637199226,296.68576000835066,118,25,55,20,1,123
39,12500,7068,5432,2827,2120,1866,255,,3931,3302,767,751,638,144,942,825,198,950,807,170,3,4,0,1285,1028,255,4500,636.7807400493895,1353.9848260467097,360.0,1070.146348439454,1277.8736211667924,,,565.6015959635544,564.9076565696149,564.2160981280565,531.4364444484019,110,40,31,39,1,1513
40,12500,8544,3956,3418,2563,2120,443,,4821,2865,831,846,493,132,847,500,142,550,329,114,3,0,0,2575,1543,443,3983,506.17150847698747,1174.4181633306564,360.0,860.8891197656884,1120.4888866654476,1382.0343412109678,,442.95423552928366,442.8869195119677,442.6988242738724,225.6360537110961,133,30,30,20,1,136
41,12500,7867,4633,3147,2360,1694,666,7867.0,5489,4428,1177,692,559,151,807,648,209,740,656,148,11,9,3,3239,2556,666,1406,495.2489685499703,1134.1636312969633,360.0,659.1718173064088,1057.7339385185005,1303.5521203367348,1364.09757488221,476.84410328522324,476.4971335882535,476.4638002549202,469.6237569648767,124,34,29,31,1,0
42,12500,8432,4068,3373,2530,2213,316,,3723,3421,661,903,810,145,535,499,105,525,446,95,4,1,0,1756,1665,316,4695,545.0544860682148,1244.620420707457,360.0,923.5635869872698,1183.563586987304,,,469.39305087144083,469.5127478411378,469.40971753810754,401.2854751138636,131,23,38,22,1,709
43,12500,8292,4208,3317,2488,2200,287,8292.0,5424,3063,546,922,480,80,764,436,72,859,482,107,6,0,0,2873,1665,287,3467,507.5793564890115,1137.7698186999366,360.0,856.6761351103257,1107.0397714739497,1352.8579532921997,1378.8579532922085,452.8779282544023,452.73636981284386,452.894594921069,313.6000061764767,130,26,30,29,1,0
44,12500,8761,3739,3504,2628,2034,595,,4462,2512,1109,505,321,119,365,213,101,1137,681,292,1,2,2,2454,1295,595,4417,505.479385009096,1225.6494819524335,360.0,865.0943148750961,1133.866226297004,,,437.8394374278631,436.7318616702873,437.7894374278631,363.1697404581644,137,14,19,43,1,603
